Wall time,Step,Value
1649603841.1182828,60000,-342.44989013671875
1649603887.6743681,120000,-372.90350341796875
1649603935.0477448,180000,-219.4543914794922
1649603982.042556,240000,-373.65399169921875
1649604027.3277607,300000,-258.32757568359375
1649604073.0914748,360000,-307.64373779296875
1649604117.462181,420000,-324.14849853515625
1649604162.60115,480000,-386.3468017578125
1649604207.7798226,540000,-251.17538452148438
1649604253.402334,600000,-281.1695556640625
1649604298.595359,660000,-285.15802001953125
1649604346.7692497,720000,-284.8445739746094
1649604395.6124542,780000,-194.9119110107422
1649604443.6683517,840000,-266.9184875488281
1649604494.0048795,900000,-224.37625122070312
1649604549.1171043,960000,-279.848388671875
1649604612.3250368,1020000,-352.18194580078125
1649604684.596571,1080000,-332.2154846191406
1649604770.0950456,1140000,-278.2939758300781
1649604857.5052238,1200000,-286.06689453125
1649604944.6679173,1260000,-316.9523010253906
1649605032.140115,1320000,-273.9169616699219
1649605118.3590744,1380000,-248.04905700683594
1649605206.7709806,1440000,-249.18324279785156
1649605295.548439,1500000,-275.5187072753906
1649605385.1569552,1560000,-257.1101989746094
1649605472.1078198,1620000,-270.3042907714844
1649605561.266012,1680000,-320.5001220703125
1649605645.9572995,1740000,-155.96678161621094
1649605734.24489,1800000,-200.97352600097656
1649605823.8008375,1860000,-233.2298126220703
1649605913.057268,1920000,-389.7723388671875
1649606000.3264375,1980000,-279.412353515625
1649606089.1328685,2040000,-307.715087890625
1649606176.454267,2100000,-218.8494110107422
1649606266.4743462,2160000,-256.45843505859375
1649606355.109604,2220000,-249.58201599121094
1649606442.522947,2280000,-165.2006072998047
1649606530.5047235,2340000,-291.84417724609375
1649606619.2030096,2400000,-240.72781372070312
1649606708.52494,2460000,-269.14215087890625
1649606795.0881145,2520000,-194.2762451171875
1649606880.9757938,2580000,-276.85076904296875
1649606969.6368845,2640000,-289.15924072265625
1649607054.6064882,2700000,-263.938232421875
1649607141.30888,2760000,-197.99969482421875
1649607228.3006618,2820000,-397.7950744628906
1649607306.9531488,2880000,-427.46771240234375
1649607387.0969028,2940000,-373.84033203125
1649607465.0487165,3000000,-262.9170837402344
1649607542.697168,3060000,-303.5270690917969
1649607621.9257967,3120000,-246.38845825195312
1649607696.9621503,3180000,-211.43634033203125
1649607774.3095222,3240000,-356.39508056640625
1649607853.2792213,3300000,-336.736083984375
1649607929.9723012,3360000,-259.4707336425781
1649608009.750823,3420000,-340.69586181640625
1649608088.776709,3480000,-399.9358825683594
1649608167.615248,3540000,-245.52066040039062
1649608242.7956693,3600000,-299.6816101074219
1649608322.6458719,3660000,-283.984375
1649608401.7422533,3720000,-296.41455078125
1649608480.5306756,3780000,-331.9065246582031
1649608559.1169007,3840000,-248.102294921875
1649608637.6052835,3900000,-303.0458068847656
1649608715.6456895,3960000,-316.0560607910156
1649608792.9510314,4020000,-228.2395477294922
1649608872.022944,4080000,-217.7250518798828
1649608949.2459204,4140000,-203.670166015625
1649609027.5063782,4200000,-212.7624969482422
1649609106.6876926,4260000,-310.2781066894531
1649609185.6344678,4320000,-263.6616516113281
1649609264.3965445,4380000,-245.81907653808594
1649609344.7656019,4440000,-295.49334716796875
1649609421.852173,4500000,-198.31494140625
1649609502.7526658,4560000,-301.3155822753906
1649609582.3733127,4620000,-272.66937255859375
1649609661.6931338,4680000,-203.35931396484375
1649609737.611378,4740000,-189.55462646484375
1649609814.955847,4800000,-223.0329132080078
1649609895.704521,4860000,-258.7538757324219
1649609976.6571627,4920000,-382.5097961425781
1649610056.7451334,4980000,-153.75662231445312
1649610135.2514749,5040000,-209.22607421875
1649610213.995481,5100000,-229.09988403320312
1649610294.0961664,5160000,-294.6731262207031
1649610375.8229797,5220000,-241.1269989013672
1649610456.4073858,5280000,-356.89752197265625
1649610537.213302,5340000,-222.64276123046875
1649610617.637965,5400000,-243.33470153808594
1649610699.359283,5460000,-239.0577850341797
1649610779.163866,5520000,-252.30482482910156
1649610859.926337,5580000,-316.0155334472656
1649610941.0251596,5640000,-215.6824188232422
1649611022.701138,5700000,-310.4618835449219
1649611102.0206003,5760000,-280.38604736328125
1649611181.7594128,5820000,-340.3135681152344
1649611262.2247763,5880000,-250.1446990966797
1649611342.1841908,5940000,-291.12640380859375
1649611422.8061333,6000000,-227.20420837402344
1649611505.1831732,6060000,-215.806884765625
1649611586.4839268,6120000,-302.75341796875
1649611666.3695343,6180000,-220.72897338867188
1649611746.4969232,6240000,-240.29864501953125
1649611827.5149426,6300000,-318.9512939453125
1649611908.2832572,6360000,-203.01303100585938
1649611990.631996,6420000,-241.38803100585938
1649612072.2261105,6480000,-281.60040283203125
1649612152.837464,6540000,-236.10777282714844
1649612232.8704643,6600000,-284.8135681152344
1649612314.4844408,6660000,-324.814697265625
1649612394.5799267,6720000,-202.1599578857422
1649612476.4765842,6780000,-284.7564697265625
1649612559.83076,6840000,-287.4425354003906
1649612640.583187,6900000,-233.63330078125
1649612721.9190235,6960000,-184.7945098876953
1649612802.2870102,7020000,-205.90737915039062
1649612883.4223197,7080000,-151.94825744628906
1649612963.3537004,7140000,-146.81857299804688
1649613044.3419971,7200000,-245.4856414794922
1649613124.991658,7260000,-191.18807983398438
1649613205.132703,7320000,-212.6337890625
1649613285.6003933,7380000,-169.7300567626953
1649613365.253047,7440000,-184.6376953125
1649613446.589799,7500000,-286.6208801269531
1649613525.574802,7560000,-232.9686279296875
1649613604.2553654,7620000,-215.00466918945312
1649613683.575486,7680000,-165.40907287597656
1649613766.4427505,7740000,-212.43951416015625
1649613836.8636703,7800000,-287.184326171875
1649613899.322421,7860000,-276.13739013671875
1649613980.9319441,7920000,-257.9651794433594
1649614062.3617213,7980000,-161.58070373535156
