Wall time,Step,Value
1650024709.5805392,60000,-138.7469024658203
1650024858.6358664,120000,-217.55718994140625
1650025007.7678902,180000,-198.7960662841797
1650025151.1825142,240000,-143.32882690429688
1650025296.8234866,300000,-252.03843688964844
1650025450.9507127,360000,-181.26272583007812
1650025615.3728929,420000,-284.9418640136719
1650025771.6887693,480000,-226.87203979492188
1650025929.0643523,540000,-268.8238525390625
1650026089.0626206,600000,-241.9732208251953
1650026244.4335704,660000,-152.44500732421875
1650026398.9230013,720000,-189.8600616455078
1650026545.2018318,780000,-149.75047302246094
1650026699.798431,840000,-224.09080505371094
1650026845.3907068,900000,-160.7733612060547
1650026996.1314962,960000,-129.1785125732422
1650027142.1602933,1020000,-208.34690856933594
1650027290.9398232,1080000,-181.4921875
1650027444.5176404,1140000,-207.4049530029297
1650027595.7859113,1200000,-159.0707244873047
1650027748.5889432,1260000,-275.7833251953125
1650027901.857262,1320000,-241.81187438964844
1650028050.500634,1380000,-215.7344207763672
1650028196.7069747,1440000,-229.35723876953125
1650028342.5773127,1500000,-107.56927490234375
1650028488.8286216,1560000,-134.09747314453125
1650028639.8961082,1620000,-182.07752990722656
1650028789.219247,1680000,-209.891357421875
1650028941.3111267,1740000,-212.15951538085938
1650029088.6820736,1800000,-195.699951171875
1650029232.26399,1860000,-255.5218963623047
1650029380.6052938,1920000,-187.6264190673828
1650029531.0680397,1980000,-239.8185272216797
1650029681.487208,2040000,-238.85263061523438
1650029832.2493598,2100000,-166.20965576171875
1650029974.4061525,2160000,-174.6344757080078
1650030117.9940577,2220000,-123.22012329101562
1650030272.291486,2280000,-215.2232666015625
1650030418.0710356,2340000,-125.38705444335938
1650030561.8828192,2400000,-117.09422302246094
1650030715.4274464,2460000,-160.29515075683594
1650030863.3369927,2520000,-183.28453063964844
1650031013.0991592,2580000,-148.39173889160156
1650031162.6627626,2640000,-236.1546630859375
1650031314.481689,2700000,-276.7415771484375
1650031470.6116042,2760000,-154.97447204589844
1650031630.0369596,2820000,-186.35108947753906
1650031781.717424,2880000,-230.5792236328125
1650031932.8872442,2940000,-200.23788452148438
1650032081.096577,3000000,-181.83978271484375
1650032226.440057,3060000,-134.653564453125
1650032370.3929143,3120000,-129.99456787109375
1650032521.8469856,3180000,-195.2806396484375
1650032667.2845383,3240000,-225.9976043701172
1650032816.0673668,3300000,-73.24606323242188
1650032959.6315181,3360000,-115.7428207397461
1650033111.3415058,3420000,-127.60543060302734
1650033265.0063994,3480000,-261.38616943359375
1650033409.110744,3540000,-105.2668228149414
1650033555.800558,3600000,-171.23667907714844
1650033706.5237088,3660000,-168.2555389404297
1650033850.4120107,3720000,-130.9429931640625
1650033997.8474948,3780000,-116.89421844482422
1650034145.4386344,3840000,-134.8803253173828
1650034284.3457222,3900000,-164.53652954101562
1650034441.2838252,3960000,-123.23160552978516
1650034598.4452336,4020000,-185.94598388671875
1650034757.1158924,4080000,-168.25660705566406
1650034913.440489,4140000,-84.69959259033203
1650035089.2026775,4200000,-180.45372009277344
1650035268.6300313,4260000,-163.82212829589844
1650035447.2033432,4320000,-229.35867309570312
1650035619.7045748,4380000,-123.43309020996094
1650035796.347093,4440000,-162.4537353515625
1650035973.2926278,4500000,-129.2079620361328
1650036153.0876176,4560000,-203.9435577392578
1650036329.4648755,4620000,-140.18511962890625
1650036507.9346895,4680000,-120.81389617919922
1650036693.905606,4740000,-198.22598266601562
1650036876.1218488,4800000,-161.32920837402344
1650037057.1889231,4860000,-95.47332763671875
1650037245.2381306,4920000,-191.0706329345703
1650037431.8037891,4980000,-153.1736297607422
1650037607.652097,5040000,-155.62318420410156
1650037759.3421764,5100000,-116.12857055664062
1650037920.9372458,5160000,-195.54910278320312
1650038076.6427116,5220000,-183.18145751953125
1650038230.4410224,5280000,-217.90049743652344
1650038380.270646,5340000,-183.1310272216797
1650038535.2290466,5400000,-163.6731414794922
1650038692.1823504,5460000,-135.22979736328125
1650038844.5218804,5520000,-106.37850952148438
1650038999.2938828,5580000,-114.4800033569336
1650039151.9941711,5640000,-171.1816864013672
1650039304.6795082,5700000,-185.8093719482422
1650039456.2896097,5760000,-157.32785034179688
1650039607.1268353,5820000,-132.64047241210938
1650039763.3170621,5880000,-210.58642578125
1650039906.6029694,5940000,-126.5793685913086
1650040060.1553373,6000000,-149.0492401123047
1650040210.7680113,6060000,-116.64434814453125
1650040366.6018608,6120000,-143.8401336669922
1650040510.5823896,6180000,-72.80884552001953
1650040663.5458329,6240000,-163.7981719970703
1650040813.6871362,6300000,-257.792236328125
1650040955.7724445,6360000,-127.17855072021484
1650041112.6327589,6420000,-228.44422912597656
1650041263.5584471,6480000,-242.0446014404297
1650041414.9799635,6540000,-200.23077392578125
1650041573.1291618,6600000,-225.25059509277344
1650041726.34648,6660000,-185.96542358398438
1650041873.0164008,6720000,-139.80210876464844
1650042026.388624,6780000,-244.8767852783203
1650042178.2937984,6840000,-111.06680297851562
1650042328.6423764,6900000,-141.41098022460938
1650042480.5369754,6960000,-202.5150604248047
1650042633.0212939,7020000,-158.16368103027344
1650042776.1998608,7080000,-161.7250213623047
1650042922.2448978,7140000,-153.96510314941406
1650043066.3469236,7200000,-149.2744903564453
1650043213.467156,7260000,-122.12297821044922
1650043361.1429358,7320000,-62.88496017456055
1650043510.1638675,7380000,-106.6583480834961
1650043663.791893,7440000,-182.2110137939453
1650043822.346789,7500000,-147.7672119140625
1650043969.2263098,7560000,-220.15843200683594
1650044119.9165952,7620000,-172.65069580078125
1650044263.3963132,7680000,-96.10739135742188
1650044412.046377,7740000,-158.67242431640625
1650044565.0851042,7800000,-232.27267456054688
1650044711.5586905,7860000,-74.854248046875
1650044854.8602686,7920000,-172.58267211914062
1650044994.4580107,7980000,-129.45225524902344
1650045145.9039767,8040000,-92.70391082763672
1650045296.1640635,8100000,-139.60809326171875
1650045439.8413346,8160000,-208.3438262939453
1650045586.8444836,8220000,-139.72450256347656
1650045747.0513408,8280000,-134.81649780273438
1650045901.0348558,8340000,-202.1158447265625
1650046046.3395345,8400000,-122.07583618164062
1650046197.782635,8460000,-115.76194763183594
1650046351.7248468,8520000,-153.1538543701172
1650046506.4234264,8580000,-105.07868194580078
1650046662.6312082,8640000,-133.52786254882812
1650046812.7131696,8700000,-109.84290313720703
1650046969.0664537,8760000,-115.80555725097656
1650047126.4734168,8820000,-145.53099060058594
1650047279.068904,8880000,-133.41690063476562
1650047429.3219738,8940000,-160.3194580078125
1650047575.7239344,9000000,-80.29944610595703
1650047724.8621957,9060000,-117.76009368896484
1650047877.5723453,9120000,-180.742431640625
1650048035.4623384,9180000,-94.1451644897461
1650048179.5546277,9240000,-85.32447814941406
1650048327.7942908,9300000,-137.17132568359375
1650048477.277744,9360000,-125.59185791015625
1650048629.0690002,9420000,-151.93362426757812
1650048777.435285,9480000,-128.3395538330078
1650048927.0963647,9540000,-125.89698028564453
1650049072.9792647,9600000,-64.0931167602539
1650049226.8598282,9660000,-198.21881103515625
1650049376.3145463,9720000,-187.5496368408203
1650049524.6596816,9780000,-174.919677734375
1650049675.3165739,9840000,-117.10688018798828
1650049825.407194,9900000,-243.01332092285156
1650049975.96618,9960000,-79.80770111083984
1650050122.0949922,10020000,-168.67738342285156
1650050269.4489005,10080000,-100.2639389038086
1650050420.8663735,10140000,-106.5093765258789
1650050572.3629305,10200000,-73.02159118652344
1650050724.1948876,10260000,-76.64702606201172
1650050870.8780499,10320000,-111.20864868164062
1650051016.1509724,10380000,-156.6724090576172
1650051171.1818817,10440000,-107.66195678710938
1650051322.326988,10500000,-93.86534118652344
1650051474.7281232,10560000,-131.6578826904297
1650051629.1713114,10620000,-135.4468994140625
1650051778.9749753,10680000,-105.27440643310547
1650051931.874146,10740000,-153.35928344726562
1650052079.0617542,10800000,-98.41182708740234
1650052230.6338713,10860000,-185.0910186767578
1650052379.5104535,10920000,-94.12124633789062
1650052529.1126392,10980000,-144.97076416015625
1650052669.0612776,11040000,-125.08660888671875
1650052813.8466072,11100000,-167.08180236816406
1650052966.2262092,11160000,-159.07534790039062
1650053109.6194706,11220000,-69.81768035888672
1650053263.0512261,11280000,-145.36143493652344
1650053408.005118,11340000,-158.6255340576172
1650053550.586379,11400000,-108.44935607910156
1650053707.5398247,11460000,-160.60989379882812
1650053852.0364265,11520000,-123.68155670166016
1650054005.17562,11580000,-178.3066864013672
1650054146.164072,11640000,-123.85191345214844
1650054288.7137213,11700000,-87.42891693115234
1650054425.454396,11760000,-121.34693145751953
1650054561.1042747,11820000,-64.99923706054688
1650054698.847883,11880000,-103.92532348632812
1650054844.1263678,11940000,-204.5788116455078
1650054993.3079815,12000000,-170.9781494140625
1650055140.3484,12060000,-125.83987426757812
1650055283.5905585,12120000,-124.99898529052734
