Wall time,Step,Value
1650025691.1803596,60000,-140.14080810546875
1650025878.0141282,120000,-78.80415344238281
1650026057.9065619,180000,-92.9895248413086
1650026237.2164865,240000,-129.18447875976562
1650026409.1107996,300000,-58.775146484375
1650026581.9846034,360000,-44.26639938354492
1650026759.8112411,420000,-102.13829040527344
1650026932.012579,480000,-82.69319915771484
1650027107.356452,540000,-151.85946655273438
1650027277.3791323,600000,-113.56526184082031
1650027451.5269291,660000,-158.35008239746094
1650027620.308631,720000,-68.9296875
1650027789.2420843,780000,-59.75615692138672
1650027959.0465674,840000,-104.28791046142578
1650028129.9309347,900000,-80.6794662475586
1650028307.0511224,960000,-99.70426940917969
1650028483.3245738,1020000,-87.21981811523438
1650028652.8362365,1080000,-99.8697509765625
1650028825.1875358,1140000,-61.39390563964844
1650028994.1618605,1200000,-64.31874084472656
1650029163.0797105,1260000,-74.54203796386719
1650029328.8622804,1320000,-105.65298461914062
1650029500.6861398,1380000,-114.14706420898438
1650029672.234906,1440000,-115.11324310302734
1650029846.4308963,1500000,-149.34078979492188
1650030013.721587,1560000,-75.5979232788086
1650030185.2034726,1620000,-64.66552734375
1650030357.544574,1680000,-57.284141540527344
1650030524.036788,1740000,-74.9296646118164
1650030700.6457033,1800000,-110.07991027832031
1650030870.732421,1860000,-104.3367919921875
1650031045.3798697,1920000,-84.97225952148438
1650031216.392084,1980000,-77.6750259399414
1650031389.3408139,2040000,-63.60454177856445
1650031561.539759,2100000,-81.75141143798828
1650031736.503717,2160000,-79.2972183227539
1650031906.1345427,2220000,-73.19866943359375
1650032077.9130275,2280000,-173.96542358398438
1650032245.5768805,2340000,-33.239219665527344
1650032418.6543798,2400000,-42.861122131347656
1650032590.962504,2460000,-59.241947174072266
1650032759.092261,2520000,-82.71116638183594
1650032928.7481112,2580000,-91.88935089111328
1650033100.6094446,2640000,-65.2574234008789
1650033276.486139,2700000,-180.13302612304688
1650033443.7075455,2760000,-21.148189544677734
1650033615.0277808,2820000,-106.44580841064453
1650033785.3669994,2880000,-50.37293243408203
1650033959.4542136,2940000,-94.35640716552734
1650034130.8254914,3000000,-72.33985137939453
1650034291.4298496,3060000,-56.752323150634766
1650034463.6247861,3120000,-72.67185974121094
1650034636.8171442,3180000,-88.86741638183594
1650034812.3049014,3240000,-50.111446380615234
