Wall time,Step,Value
1649604556.0898833,60000,-72.06952667236328
1649604651.4868789,120000,-62.33463668823242
1649604769.1022902,180000,-94.35164642333984
1649604892.352181,240000,-60.852569580078125
1649605011.5591683,300000,-29.186059951782227
1649605132.9874296,360000,-50.13488006591797
1649605253.657083,420000,-47.54399871826172
1649605375.6133814,480000,-85.0810317993164
1649605496.976092,540000,-79.08944702148438
1649605619.4578807,600000,-67.54566955566406
1649605740.8961167,660000,-86.51888275146484
1649605864.521096,720000,-41.519317626953125
1649605985.145852,780000,-24.692928314208984
1649606106.3311062,840000,-39.98719787597656
1649606229.9091623,900000,-58.484622955322266
1649606352.979264,960000,-23.13136100769043
1649606476.7321446,1020000,-40.291847229003906
1649606603.9303565,1080000,-96.35899353027344
1649606727.4916968,1140000,-68.86019134521484
1649606848.2901547,1200000,-19.320186614990234
1649606971.652623,1260000,-39.20537567138672
1649607095.3759217,1320000,-30.76932144165039
1649607218.054191,1380000,-26.890459060668945
1649607328.075654,1440000,-18.233448028564453
1649607440.0077202,1500000,-52.65129852294922
1649607552.2071106,1560000,-37.41187286376953
1649607663.5075336,1620000,-25.590898513793945
1649607775.154331,1680000,-59.1567268371582
1649607886.7054484,1740000,-22.349102020263672
1649607999.2444336,1800000,-19.02875518798828
1649608111.936694,1860000,-33.94715881347656
1649608221.939486,1920000,-29.416688919067383
1649608335.9325728,1980000,-50.211360931396484
1649608449.8588104,2040000,-56.571022033691406
1649608564.7895494,2100000,-38.143157958984375
1649608678.2407615,2160000,-41.349090576171875
1649608789.9541118,2220000,-14.998456954956055
1649608904.6300964,2280000,-25.421072006225586
1649609018.7328029,2340000,-59.07655334472656
1649609132.8836474,2400000,-21.332015991210938
1649609248.151888,2460000,-22.36356544494629
1649609364.250918,2520000,-38.21442794799805
1649609480.4894266,2580000,-43.81947326660156
1649609596.1063066,2640000,-23.15940284729004
1649609709.935339,2700000,-35.370052337646484
1649609826.6882937,2760000,-64.34147644042969
1649609941.8205814,2820000,-42.973304748535156
1649610055.7535474,2880000,-28.347270965576172
1649610172.2102666,2940000,-68.14208984375
1649610289.1463335,3000000,-65.63978576660156
1649610402.0198636,3060000,-24.540035247802734
1649610517.16714,3120000,-29.420814514160156
1649610631.405534,3180000,-22.037010192871094
1649610746.3035986,3240000,-34.19206237792969
1649610861.6231713,3300000,-15.799354553222656
1649610976.1422455,3360000,-16.140348434448242
1649611089.18595,3420000,-16.155677795410156
1649611201.6496909,3480000,-18.76206398010254
1649611318.5617275,3540000,-51.940608978271484
1649611433.015263,3600000,-19.979284286499023
1649611549.2127638,3660000,-46.80121612548828
1649611663.261208,3720000,-24.158559799194336
1649611778.3590467,3780000,-20.411027908325195
1649611894.314189,3840000,-49.77501678466797
1649612009.3746312,3900000,-16.5494441986084
1649612127.3022966,3960000,-28.22869110107422
1649612244.2959473,4020000,-18.672971725463867
1649612360.8764765,4080000,-49.468467712402344
1649612475.2589085,4140000,-18.31805419921875
1649612592.4626217,4200000,-12.124427795410156
1649612707.5988138,4260000,-31.67486572265625
1649612825.1417882,4320000,-34.14725112915039
1649612942.3025036,4380000,-21.576147079467773
1649613060.1086283,4440000,-38.849849700927734
1649613176.1959176,4500000,-30.461402893066406
1649613292.6830776,4560000,-21.062204360961914
1649613408.9280262,4620000,-43.518898010253906
1649613528.1146164,4680000,-51.512638092041016
1649613647.8751395,4740000,-96.20419311523438
1649613764.733226,4800000,-26.151084899902344
1649613867.5498424,4860000,-13.143258094787598
1649613986.48369,4920000,-43.796546936035156
1649614105.7662613,4980000,-18.327125549316406
1649614223.9916592,5040000,-16.227344512939453
1649614342.2606113,5100000,-14.706328392028809
1649614461.4375699,5160000,-24.467283248901367
1649614580.2185347,5220000,-20.161481857299805
1649614698.4800203,5280000,-67.17051696777344
1649614817.2478778,5340000,-59.50538635253906
1649614935.574618,5400000,-56.013980865478516
1649615052.4356086,5460000,-20.217315673828125
1649615169.5396984,5520000,-33.24525833129883
1649615287.6980145,5580000,-17.165592193603516
1649615407.4805875,5640000,-51.97370147705078
1649615529.4486232,5700000,-99.83084106445312
1649615648.6193728,5760000,-33.51919174194336
1649615770.648999,5820000,-40.060935974121094
1649615889.9527977,5880000,-32.40873336791992
1649616010.407744,5940000,-36.85404586791992
1649616129.7235422,6000000,-19.95192527770996
1649616248.810873,6060000,-23.35896873474121
1649616367.3204434,6120000,-15.52987289428711
1649616486.4021647,6180000,-26.35544776916504
1649616607.2400553,6240000,-20.791141510009766
1649616727.8853621,6300000,-34.34892272949219
1649616848.0538363,6360000,-15.134784698486328
1649616968.0954928,6420000,-41.20438003540039
1649617089.0000718,6480000,-30.38277244567871
1649617206.9521444,6540000,-18.414579391479492
1649617327.3791068,6600000,-48.73350524902344
1649617446.4950385,6660000,-44.21418762207031
1649617566.1168184,6720000,-33.37470626831055
1649617684.684853,6780000,-14.600861549377441
1649617802.007544,6840000,-23.271509170532227
1649617920.5242147,6900000,-34.475311279296875
1649618037.9488645,6960000,-14.773972511291504
1649618156.8323507,7020000,-21.915578842163086
1649618276.2226262,7080000,-21.07903480529785
1649618396.4057853,7140000,-17.455001831054688
1649618516.9795613,7200000,-50.12116622924805
1649618636.564171,7260000,-38.098899841308594
1649618757.1378374,7320000,-68.43956756591797
1649618877.6117706,7380000,-16.21445083618164
1649618998.8374083,7440000,-25.118701934814453
1649619119.067683,7500000,-23.420358657836914
1649619238.1467676,7560000,-18.04679298400879
1649619359.0655122,7620000,-23.125194549560547
1649619480.3428857,7680000,-25.833080291748047
1649619601.8293688,7740000,-50.12843322753906
1649619722.7754474,7800000,-14.285847663879395
1649619844.040993,7860000,-21.238615036010742
1649619964.0392058,7920000,-27.12387466430664
1649620083.5347311,7980000,-19.138364791870117
1649620203.7506514,8040000,-20.26184844970703
1649620325.853409,8100000,-11.473361015319824
1649620449.109844,8160000,-30.541467666625977
1649620571.3254845,8220000,-22.701784133911133
1649620694.6377006,8280000,-61.015708923339844
1649620818.060585,8340000,-29.36399269104004
1649620940.0261698,8400000,-21.943540573120117
1649621064.7445402,8460000,-51.876102447509766
1649621188.653042,8520000,-53.96730041503906
1649621310.659816,8580000,-34.75777816772461
1649621432.877702,8640000,-25.344852447509766
1649621556.3507626,8700000,-30.012800216674805
1649621679.076748,8760000,-54.74943923950195
1649621802.2080662,8820000,-15.700690269470215
1649621924.2564652,8880000,-15.965047836303711
1649622045.319937,8940000,-20.925764083862305
1649622168.9998546,9000000,-27.24509048461914
1649622290.2792382,9060000,-13.739114761352539
1649622413.0682871,9120000,-26.802898406982422
1649622535.2311728,9180000,-38.853065490722656
1649622656.7130146,9240000,-20.737712860107422
1649622778.2538235,9300000,-18.389137268066406
1649622900.230685,9360000,-25.5495662689209
1649623022.1273196,9420000,-19.843082427978516
1649623143.4668345,9480000,-38.13759994506836
1649623264.6008554,9540000,-16.024642944335938
1649623385.6857011,9600000,-19.603328704833984
1649623509.233235,9660000,-39.55670166015625
1649623631.7992592,9720000,-18.67637062072754
1649623756.482365,9780000,-61.66037368774414
1649623879.6582682,9840000,-23.87558937072754
1649624002.0724301,9900000,-56.8712043762207
1649624126.2448385,9960000,-21.805028915405273
1649624248.334924,10020000,-15.039422035217285
1649624373.2662303,10080000,-34.63312530517578
1649624498.6909802,10140000,-45.80642318725586
1649624625.1162186,10200000,-47.31122589111328
1649624749.9810221,10260000,-44.63755798339844
1649624875.804514,10320000,-44.698944091796875
1649625000.3676696,10380000,-15.444343566894531
1649625125.0491214,10440000,-25.950307846069336
1649625250.3531609,10500000,-30.402812957763672
1649625374.7704136,10560000,-13.525904655456543
1649625498.7895396,10620000,-25.971080780029297
1649625622.6236167,10680000,-17.6946964263916
1649625747.001336,10740000,-16.62104034423828
1649625872.6997483,10800000,-31.724475860595703
1649626001.1039104,10860000,-72.519775390625
1649626125.4021397,10920000,-22.17144775390625
1649626252.4934142,10980000,-46.84937286376953
1649626378.2871454,11040000,-22.475887298583984
1649626505.3205109,11100000,-26.011037826538086
1649626630.235288,11160000,-18.389307022094727
1649626756.9405036,11220000,-17.77056121826172
1649626882.4483168,11280000,-14.42027759552002
1649627008.1086287,11340000,-22.22003173828125
1649627134.7583714,11400000,-33.607364654541016
1649627261.6296515,11460000,-47.50845718383789
1649627386.8811965,11520000,-21.375019073486328
1649627511.0498629,11580000,-23.465551376342773
1649627637.0368164,11640000,-20.982404708862305
1649627760.1039445,11700000,-11.875858306884766
1649627885.3691108,11760000,-12.950363159179688
1649628010.5382957,11820000,-22.881393432617188
1649628136.5663655,11880000,-24.558340072631836
1649628262.4900727,11940000,-20.383481979370117
1649628387.6424806,12000000,-21.48170280456543
1649628512.7623813,12060000,-13.957347869873047
1649628637.6713855,12120000,-16.688034057617188
1649628762.2112288,12180000,-17.48436164855957
1649628887.2784622,12240000,-11.332808494567871
1649629013.1132545,12300000,-14.214350700378418
1649629139.2735145,12360000,-21.997032165527344
1649629264.1403654,12420000,-17.229822158813477
1649629389.8513944,12480000,-14.260560035705566
1649629516.707302,12540000,-28.74884605407715
1649629642.0534985,12600000,-25.22513198852539
1649629767.1680806,12660000,-15.769936561584473
1649629893.612532,12720000,-25.93683624267578
1649630019.7620459,12780000,-21.963865280151367
1649630145.3564785,12840000,-17.656661987304688
1649630272.5725214,12900000,-17.627464294433594
1649630398.7452657,12960000,-25.74026870727539
1649630524.167638,13020000,-23.7850341796875
1649630651.9623222,13080000,-19.72229766845703
1649630777.9572845,13140000,-14.92263412475586
1649630905.0488625,13200000,-52.48809814453125
1649631029.892061,13260000,-15.160998344421387
1649631155.3891983,13320000,-25.757402420043945
1649631281.1038518,13380000,-16.682008743286133
1649631409.3021798,13440000,-51.53886032104492
1649631536.5946827,13500000,-53.0410041809082
1649631662.2631865,13560000,-12.397395133972168
1649631788.2974608,13620000,-23.209827423095703
1649631914.3987184,13680000,-22.788658142089844
1649632042.3171828,13740000,-32.54707336425781
1649632169.699844,13800000,-44.85408020019531
1649632297.653593,13860000,-55.54673767089844
1649632423.635116,13920000,-18.283510208129883
1649632547.7468805,13980000,-14.787701606750488
1649632672.4559343,14040000,-19.87010383605957
1649632796.9173489,14100000,-15.505094528198242
1649632924.0403368,14160000,-27.078369140625
1649633049.4648018,14220000,-18.049591064453125
1649633175.734657,14280000,-27.558650970458984
1649633299.6772583,14340000,-16.555086135864258
1649633426.8642542,14400000,-26.805728912353516
1649633552.2966354,14460000,-16.516937255859375
1649633678.1990566,14520000,-30.82892417907715
1649633803.7930655,14580000,-24.125091552734375
1649633930.3781998,14640000,-17.570701599121094
1649634058.1056056,14700000,-48.384586334228516
1649634183.61585,14760000,-23.248571395874023
1649634308.954221,14820000,-20.63795280456543
1649634411.4371936,14880000,-45.37520980834961
1649634536.115186,14940000,-19.21705436706543
