Wall time,Step,Value
1650024659.244311,60000,-305.6291809082031
1650024792.0540173,120000,-305.0143737792969
1650024938.845472,180000,-236.02493286132812
1650025086.5237644,240000,-301.2250671386719
1650025231.6268108,300000,-242.7157745361328
1650025373.8056626,360000,-233.74261474609375
1650025520.464634,420000,-322.6649475097656
1650025670.6310499,480000,-287.4482421875
1650025816.8207676,540000,-280.5291748046875
1650025961.5633984,600000,-308.667724609375
1650026110.9991865,660000,-274.60107421875
1650026253.972872,720000,-319.4326171875
1650026402.0545933,780000,-328.1421813964844
1650026550.4419405,840000,-289.82415771484375
1650026709.6340256,900000,-349.2408752441406
1650026856.4212396,960000,-414.0901794433594
1650027010.3827922,1020000,-269.1524353027344
1650027158.9607542,1080000,-301.8954162597656
1650027305.0552948,1140000,-314.7481994628906
1650027448.8918629,1200000,-250.23912048339844
1650027594.1807182,1260000,-243.5158233642578
1650027741.735075,1320000,-337.7203369140625
1650027886.09487,1380000,-258.8830261230469
1650028030.02501,1440000,-246.06884765625
1650028178.090258,1500000,-281.91351318359375
1650028323.9391294,1560000,-313.26318359375
1650028473.585205,1620000,-284.6708984375
1650028623.5514274,1680000,-247.84378051757812
1650028775.0541494,1740000,-285.5837097167969
1650028928.8443832,1800000,-233.8973846435547
1650029076.1931212,1860000,-239.99740600585938
1650029222.4177508,1920000,-191.55715942382812
1650029374.5511432,1980000,-198.72946166992188
1650029521.1779377,2040000,-204.20184326171875
1650029672.3411658,2100000,-192.55210876464844
1650029818.20274,2160000,-203.9607391357422
1650029964.3121817,2220000,-278.4277648925781
1650030109.0047581,2280000,-291.2413330078125
1650030252.6353683,2340000,-257.2395935058594
1650030405.4304135,2400000,-218.09254455566406
1650030551.6829507,2460000,-207.89999389648438
1650030699.553632,2520000,-319.2806396484375
1650030853.048177,2580000,-276.3165588378906
1650031006.0665789,2640000,-177.9043426513672
1650031157.1660967,2700000,-226.3931121826172
1650031308.059039,2760000,-178.87120056152344
1650031465.1718888,2820000,-283.11871337890625
1650031626.419302,2880000,-218.06752014160156
1650031776.852279,2940000,-279.1874694824219
1650031924.254191,3000000,-173.5928192138672
1650032077.5609305,3060000,-120.76576232910156
1650032232.4623773,3120000,-154.60292053222656
1650032388.1351864,3180000,-148.38865661621094
1650032544.156748,3240000,-280.6775817871094
1650032691.8167946,3300000,-146.94337463378906
1650032841.5968547,3360000,-84.43108367919922
1650032993.551727,3420000,-244.34983825683594
1650033146.3096516,3480000,-205.0954132080078
1650033293.3633323,3540000,-135.7766571044922
1650033437.3248527,3600000,-102.66484069824219
1650033591.0376616,3660000,-139.10130310058594
1650033741.0496137,3720000,-149.90072631835938
1650033892.182956,3780000,-132.7323760986328
1650034040.1707726,3840000,-127.9116439819336
1650034186.438115,3900000,-64.01268768310547
1650034324.557718,3960000,-94.44393157958984
1650034478.57754,4020000,-115.48086547851562
1650034637.1583395,4080000,-168.8193817138672
1650034796.8177433,4140000,-85.52471160888672
1650034965.5334473,4200000,-92.783935546875
1650035142.7230186,4260000,-73.68450927734375
1650035324.557145,4320000,-133.6228790283203
1650035499.702604,4380000,-41.0294303894043
1650035675.0043247,4440000,-75.95748138427734
1650035853.8859298,4500000,-94.79864501953125
1650036030.0875227,4560000,-91.14938354492188
1650036205.1221473,4620000,-46.341514587402344
1650036381.732676,4680000,-77.183837890625
1650036555.8304772,4740000,-36.8470344543457
1650036735.6292539,4800000,-183.05838012695312
1650036917.5335326,4860000,-101.2770004272461
1650037099.8213072,4920000,-77.7000961303711
1650037279.9009316,4980000,-91.77454376220703
1650037455.2467065,5040000,-45.58932876586914
1650037625.2469409,5100000,-54.64556121826172
1650037781.9673405,5160000,-75.7637710571289
1650037945.590904,5220000,-85.48189544677734
1650038104.5084143,5280000,-116.29389953613281
1650038263.5296845,5340000,-56.64592361450195
1650038415.3681645,5400000,-100.7911376953125
1650038577.983927,5460000,-74.20441436767578
1650038749.5363362,5520000,-76.5761947631836
1650038911.1301765,5580000,-82.91830444335938
1650039073.9078078,5640000,-86.39810180664062
1650039230.756831,5700000,-133.3317413330078
1650039388.9258487,5760000,-73.8320083618164
1650039541.0918615,5820000,-78.16499328613281
1650039692.8128388,5880000,-71.77628326416016
1650039842.5404782,5940000,-181.7099609375
1650039982.9837506,6000000,-67.54291534423828
1650040124.6169653,6060000,-180.92169189453125
1650040267.0194304,6120000,-273.8607177734375
1650040410.3177087,6180000,-269.8318176269531
1650040553.8692873,6240000,-232.8044891357422
1650040695.4168026,6300000,-282.9541320800781
1650040840.8808389,6360000,-193.85140991210938
1650040979.3330264,6420000,-269.5001220703125
1650041125.8494165,6480000,-167.9488525390625
1650041271.0779305,6540000,-180.07327270507812
1650041425.5281472,6600000,-275.048828125
1650041566.8469045,6660000,-196.56846618652344
1650041710.2775755,6720000,-172.9149169921875
1650041853.774223,6780000,-196.27798461914062
1650042001.5724728,6840000,-183.83010864257812
1650042152.0599642,6900000,-312.15478515625
1650042302.2261293,6960000,-160.816650390625
1650042451.534088,7020000,-127.35846710205078
1650042597.71816,7080000,-91.87096405029297
1650042741.8451157,7140000,-182.31491088867188
1650042883.057106,7200000,-167.92514038085938
1650043032.9787345,7260000,-143.1768035888672
1650043186.5536575,7320000,-183.3131866455078
1650043332.336656,7380000,-78.06487274169922
1650043481.3950272,7440000,-112.83158874511719
1650043626.4423764,7500000,-49.81513595581055
1650043776.6743228,7560000,-125.74183654785156
1650043915.9202185,7620000,-160.52565002441406
1650044053.1271715,7680000,-184.6510467529297
1650044200.0533202,7740000,-151.70411682128906
1650044349.182553,7800000,-92.2527084350586
1650044500.1860156,7860000,-125.97042083740234
1650044648.3675215,7920000,-119.14332580566406
1650044795.3958194,7980000,-183.4528350830078
1650044946.3588867,8040000,-292.0321350097656
1650045100.9027956,8100000,-126.15061950683594
1650045258.66466,8160000,-30.267093658447266
1650045409.7529075,8220000,-62.35417175292969
1650045561.751502,8280000,-93.01451873779297
1650045714.4836047,8340000,-136.6920623779297
1650045870.1264713,8400000,-52.9893913269043
1650046024.8265326,8460000,-102.16480255126953
1650046179.4354496,8520000,-59.763526916503906
1650046346.216306,8580000,-72.64422607421875
1650046509.2903428,8640000,-70.48104095458984
1650046670.4791915,8700000,-48.01962661743164
1650046825.8858685,8760000,-45.98324966430664
1650046982.3072445,8820000,-41.65217971801758
1650047144.7998993,8880000,-80.8779525756836
1650047306.001596,8940000,-55.14725875854492
1650047463.452804,9000000,-53.45621871948242
1650047627.192455,9060000,-54.53224563598633
1650047787.0545788,9120000,-64.84073638916016
1650047948.1491275,9180000,-92.95256042480469
1650048105.9070628,9240000,-35.06242370605469
1650048267.4957716,9300000,-85.89990234375
1650048422.071314,9360000,-40.244510650634766
1650048578.945808,9420000,-103.15678405761719
1650048730.1436377,9480000,-45.5023078918457
1650048886.7414281,9540000,-75.1330795288086
1650049042.1844077,9600000,-48.742950439453125
1650049194.2392292,9660000,-146.58685302734375
1650049347.4057503,9720000,-47.45614242553711
1650049499.6699727,9780000,-67.1246566772461
1650049652.4849172,9840000,-70.10596466064453
1650049804.3751817,9900000,-62.55809783935547
1650049952.2166996,9960000,-72.64616394042969
1650050102.782908,10020000,-104.4287338256836
1650050254.5393121,10080000,-70.60282135009766
1650050405.2028196,10140000,-33.00559997558594
1650050560.706091,10200000,-85.38790130615234
1650050712.447187,10260000,-53.57128143310547
1650050860.6131444,10320000,-57.981773376464844
1650051007.303675,10380000,-173.4778594970703
1650051151.4846075,10440000,-97.10115051269531
1650051305.9016128,10500000,-74.83106994628906
1650051466.058214,10560000,-69.34519958496094
1650051627.2299612,10620000,-55.459407806396484
1650051791.3078692,10680000,-50.12860870361328
1650051949.6321406,10740000,-41.55419158935547
1650052103.8138556,10800000,-46.41636657714844
1650052262.8388002,10860000,-87.33238220214844
1650052417.4398444,10920000,-76.75743865966797
1650052571.772293,10980000,-80.42022705078125
